"Date","vwretd","ewretd","RF","fomc","EqualExcess","EqualLogExcess","ValueExcess","ValueLogExcess"
1994-09-01,-0.00452,-0.000902,0.017,0,-0.017902,-0.107239259842667,-0.02152,-0.470023163816919
1994-09-02,-0.002601,0.003428,0.017,0,-0.013572,0.325215224962062,-0.019601,-0.277437402903257
1994-09-06,0.000327,-0.000356,0.017,0,-0.017356,-0.0526048934680813,-0.016673,0.0156960995514945
1994-09-07,8e-06,0.002477,0.017,0,-0.014523,0.230395174037175,-0.016992,-0.0161985583637287
1994-09-08,0.004577,0.003797,0.017,0,-0.013203,0.361982403943677,-0.012423,0.439657183563102
1994-09-09,-0.00863,-0.001145,0.017,0,-0.018145,-0.131564156494209,-0.02563,-0.883743964319844
1994-09-12,-0.004105,-0.001371,0.017,0,-0.018371,-0.154192623201763,-0.021105,-0.428343419317986
1994-09-13,0.003248,0.004362,0.017,0,-0.012638,0.418252850149211,-0.013752,0.307275109020796
1994-09-14,0.002531,0.002865,0.017,0,-0.014135,0.269091815791219,-0.014469,0.235781686211995
1994-09-15,0.011038,0.005473,0.017,0,-0.011527,0.528809200611999,-0.005962,1.08075403283126
1994-09-16,-0.004598,0.000853,0.017,0,-0.016147,0.0682650850613771,-0.021598,-0.477858886882366
1994-09-19,-0.00081,0.000604,0.017,0,-0.016396,0.0433832113778907,-0.01781,-0.0980313778892144
1994-09-20,-0.013782,-0.005405,0.017,0,-0.022405,-0.558964541236408,-0.030782,-1.4047839034425
1994-09-21,-0.005306,-0.004693,0.017,0,-0.021693,-0.487403225112827,-0.022306,-0.549011236303667
1994-09-22,-0.000808,0.000846,0.017,0,-0.016154,0.0675656792066478,-0.017808,-0.0978312159582122
1994-09-23,-0.003,-0.000352,0.017,0,-0.017352,-0.0522047518179366,-0.02,-0.317449457193618
1994-09-26,0.001808,-0.001699,0.017,0,-0.018699,-0.187043048900178,-0.015192,0.16363819837304
1994-09-27,0.001821,-0.000222,0.017,1,-0.017222,-0.0392010197285081,-0.015179,0.16493584379544
1994-09-28,0.005919,0.004807,0.017,0,-0.012193,0.46254977164029,-0.011081,0.573156598564217
1994-09-29,-0.003335,-0.000561,0.017,0,-0.017561,-0.0731142971015058,-0.020335,-0.351055905935296
1994-09-30,0.002191,0.007184,0.017,0,-0.009816,0.698833244667432,-0.014809,0.201861770806276
1994-10-03,-0.002481,-0.003653,0.018,0,-0.021653,-0.383967230013457,-0.020481,-0.266406658241824
1994-10-04,-0.014293,-0.009442,0.018,0,-0.027442,-0.966684207512279,-0.032293,-1.4576112585707
1994-10-05,-0.00385,-0.007073,0.018,0,-0.025073,-0.727811604345452,-0.02185,-0.403741412924842
