"Date","Lo.10","X2.Dec","X3.Dec","X4.Dec","X5.Dec","X6.Dec","X7.Dec","X8.Dec","X9.Dec","Hi.10","RF","year","fomc","Dec1Excess","Dec1LogExcess","Dec2Excess","Dec2LogExcess","Dec3Excess","Dec3LogExcess","Dec4Excess","Dec4LogExcess","Dec5Excess","Dec5LogExcess","Dec6Excess","Dec6LogExcess","Dec7Excess","Dec7LogExcess","Dec8Excess","Dec8LogExcess","Dec9Excess","Dec9LogExcess","Dec10Excess","Dec10LogExcess"
1994-09-01,-0.13,-0.33,-0.45,-0.57,-0.4,-0.67,-0.83,-0.51,-0.46,-0.42,0.017,1994,0,-0.147,-0.147083128468556,-0.347,-0.347544256036397,-0.467,-0.468014102952353,-0.587,-0.588629254774661,-0.417,-0.417800694917628,-0.687,-0.689253131246423,-0.847,-0.850462234169511,-0.527,-0.528303493846048,-0.477,-0.47805981093207,-0.437,-0.437883032569216
1994-09-02,0.51,0.35,0.07,0.02,0.02,0,-0.17,-0.38,-0.42,-0.41,0.017,1994,0,0.493,0.491705349691965,0.333,0.332390370261832,0.053,0.0529769562635884,0.003,0.00299944510288089,0.003,0.00299944510288089,-0.017,-0.0169985551637458,-0.187,-0.187143219139499,-0.397,-0.39772238945915,-0.437,-0.437883032569216,-0.427,-0.427841359618066
1994-09-06,-0.03,-0.04,-0.25,-0.11,-0.35,-0.05,-0.07,0.11,-0.02,0.12,0.017,1994,0,-0.047,-0.0470030560639483,-0.057,-0.0570065572977193,-0.267,-0.267311576975599,-0.127,-0.127059099567047,-0.367,-0.36761248809251,-0.067,-0.0670110593319756,-0.087,-0.087023066603085,0.093,0.0929409891663506,-0.037,-0.0370005554304525,0.103,0.102929502384464
1994-09-07,0.18,0.42,0.19,0.31,0.51,0.38,0.49,0.16,-0.1,-0.17,0.017,1994,0,0.163,0.162839638974192,0.403,0.402121906683061,0.173,0.17282117314428,0.293,0.292521935566496,0.493,0.491705349691965,0.363,0.362281268705878,0.473,0.47180485211385,0.143,0.142873581205957,-0.117,-0.117048588522099,-0.187,-0.187143219139499
1994-09-08,0.4,0.47,0.56,0.64,0.54,0.76,0.64,0.38,0.5,0.44,0.017,1994,0,0.383,0.38220357179,0.453,0.451900393449408,0.543,0.541439274226316,0.623,0.620962141240157,0.523,0.521548672470036,0.743,0.740127994468062,0.623,0.620962141240157,0.363,0.362281268705878,0.483,0.481755595940162,0.423,0.422036274965544
1994-09-09,-0.14,-0.2,-0.33,-0.51,-0.58,-0.82,-0.81,-0.8,-0.94,-1.07,0.017,1994,0,-0.157,-0.15709664672656,-0.217,-0.217198822231054,-0.347,-0.347544256036397,-0.527,-0.528303493846048,-0.597,-0.598687087320228,-0.837,-0.840379047874101,-0.827,-0.830296878182645,-0.817,-0.820215724890172,-0.957,-0.961444437963718,-1.087,-1.09276422045976
1994-09-12,-0.1,-0.38,-0.27,-0.27,-0.33,-0.25,-0.37,-0.46,-0.53,-0.44,0.017,1994,0,-0.117,-0.117048588522099,-0.397,-0.39772238945915,-0.287,-0.287363712595225,-0.287,-0.287363712595225,-0.347,-0.347544256036397,-0.267,-0.267311576975599,-0.387,-0.387684748296393,-0.477,-0.47805981093207,-0.547,-0.548408037540625,-0.457,-0.457969404033757
1994-09-13,0.49,0.46,0.61,0.36,0.49,0.2,0.22,0.22,0.08,0.37,0.017,1994,0,0.473,0.47180485211385,0.443,0.441946678216983,0.593,0.59114847642305,0.343,0.342354995849271,0.473,0.47180485211385,0.183,0.18280171110356,0.203,0.202759799184976,0.203,0.202759799184976,0.063,0.0629694618926874,0.353,0.352318628598011
1994-09-14,0.39,0.33,0.36,0.3,0.13,0.12,0.39,0.02,0.28,0.31,0.017,1994,0,0.373,0.372242916370638,0.313,0.312458139779257,0.343,0.342354995849271,0.283,0.282552342816102,0.113,0.112917017998259,0.103,0.102929502384464,0.373,0.372242916370638,0.003,0.00299944510288089,0.263,0.262610175036382,0.293,0.292521935566496
1994-09-15,0.39,0.62,0.76,0.6,1.18,1.18,1.15,0.76,0.83,1.39,0.017,1994,0,0.373,0.372242916370638,0.603,0.601087352344366,0.743,0.740127994468062,0.583,0.581208612591,1.163,1.15609373240612,1.163,1.15609373240612,1.133,1.12643920740256,0.743,0.740127994468062,0.813,0.809575886539516,1.373,1.36342954247596
